,game_time,game_date,arena,home_team,home_wins,home_losses,away_team,away_wins,away_losses,attendance
1290,0 days 20:30:00,2018-10-24,AT&T Center,San Antonio Spurs,2,2,Indiana Pacers,3,2,18354
1291,0 days 19:30:00,2018-10-24,Scotiabank Arena,Toronto Raptors,5,0,Minnesota Timberwolves,2,3,19800
1292,0 days 19:00:00,2018-10-25,Little Caesars Arena,Detroit Pistons,4,0,Cleveland Cavaliers,0,5,15896
1293,0 days 22:30:00,2018-10-25,STAPLES Center,Los Angeles Lakers,2,3,Denver Nuggets,4,1,18997
1294,0 days 20:00:00,2018-10-25,Chesapeake Energy Arena,Oklahoma City Thunder,0,4,Boston Celtics,3,2,18203
1295,0 days 19:00:00,2018-10-25,Amway Center,Orlando Magic,2,3,Portland Trail Blazers,3,1,15114
1296,0 days 19:00:00,2018-10-26,Spectrum Center,Charlotte Hornets,3,3,Chicago Bulls,1,4,15220
1297,0 days 20:00:00,2018-10-26,Toyota Center,Houston Rockets,1,4,Los Angeles Clippers,3,2,18055
1298,0 days 20:00:00,2018-10-26,Target Center,Minnesota Timberwolves,2,4,Milwaukee Bucks,5,0,16334
1299,0 days 20:00:00,2018-10-26,Smoothie King Center,New Orleans Pelicans,4,0,Brooklyn Nets,2,3,15272
1300,0 days 19:30:00,2018-10-26,Madison Square Garden (IV),New York Knicks,1,5,Golden State Warriors,5,1,19812
1301,0 days 22:00:00,2018-10-26,Golden 1 Center,Sacramento Kings,3,3,Washington Wizards,1,4,14101
1302,0 days 19:30:00,2018-10-26,Scotiabank Arena,Toronto Raptors,6,0,Dallas Mavericks,2,3,19800
1303,0 days 19:30:00,2018-10-27,State Farm Arena,Atlanta Hawks,2,3,Chicago Bulls,2,4,15549
1304,0 days 19:30:00,2018-10-27,Quicken Loans Arena,Cleveland Cavaliers,0,6,Indiana Pacers,4,2,19432
1305,0 days 19:00:00,2018-10-27,Little Caesars Arena,Detroit Pistons,4,1,Boston Celtics,4,2,18120
1306,0 days 20:00:00,2018-10-27,FedEx Forum,Memphis Grizzlies,3,2,Phoenix Suns,1,4,15926
1307,0 days 20:00:00,2018-10-27,AmericanAirlines Arena,Miami Heat,3,2,Portland Trail Blazers,3,2,19600
1308,0 days 20:30:00,2018-10-27,Fiserv Forum,Milwaukee Bucks,6,0,Orlando Magic,2,4,17341
1309,0 days 19:00:00,2018-10-27,Smoothie King Center,New Orleans Pelicans,4,1,Utah Jazz,3,2,16373
1310,0 days 19:30:00,2018-10-27,Wells Fargo Center,Philadelphia 76ers,3,3,Charlotte Hornets,3,4,20203
1311,0 days 20:30:00,2018-10-27,AT&T Center,San Antonio Spurs,3,2,Los Angeles Lakers,2,4,18589
1312,0 days 17:00:00,2018-10-28,Barclays Center,Brooklyn Nets,2,4,Golden State Warriors,6,1,17732
1313,0 days 19:00:00,2018-10-28,American Airlines Center,Dallas Mavericks,2,4,Utah Jazz,4,2,19571
1314,0 days 21:30:00,2018-10-28,STAPLES Center,Los Angeles Clippers,4,2,Washington Wizards,1,5,16491
1315,0 days 19:00:00,2018-10-28,Chesapeake Energy Arena,Oklahoma City Thunder,1,4,Phoenix Suns,1,5,18203
1316,0 days 20:00:00,2018-10-29,United Center,Chicago Bulls,2,5,Golden State Warriors,7,1,21076
1317,0 days 21:00:00,2018-10-29,Pepsi Center,Denver Nuggets,5,1,New Orleans Pelicans,4,2,15217
1318,0 days 19:00:00,2018-10-29,Bankers Life Fieldhouse,Indiana Pacers,4,3,Portland Trail Blazers,4,2,15788
1319,0 days 19:30:00,2018-10-29,AmericanAirlines Arena,Miami Heat,3,3,Sacramento Kings,4,3,19600
1320,0 days 20:00:00,2018-10-29,Fiserv Forum,Milwaukee Bucks,7,0,Toronto Raptors,6,1,17341
